Nama,Singkatan,Jenis,Status,Kabupaten,Provinsi,Akreditasi,Jumlah Prodi,Persentase Kelulusan,Rentang Biaya / Semester
Sekolah Tinggi Ekonomi dan Bisnis Islam Persatuan Ummat Islam Bogor Jawa Barat,STEBIPUIBJB,Agama,Pembinaan,Kab. Bogor,Prov. Jawa Barat,Tidak Terakreditasi,1,,
Sekolah Tinggi Agama Islam Pelita Nusa Bandung Barat,STAI Pelita Nusa Bandung,Agama,Aktif,Kota Bandung,Prov. Jawa Barat,Tidak Terakreditasi,3,24.25 %,
Universitas Islam Negeri Ar-Raniry Banda Aceh,UIN Ar-Raniry,Agama,Aktif,Kota Banda Aceh,Prov. Aceh,Unggul,62,48.26 %,Rp400.000 - 2.927.000
STAI Asy-Syukriyyah Tangerang,STAI Asy-Syukriyyah Tangerang,Agama,Alih Bentuk,Kota Tangerang,Prov. Banten,Baik,6,54.14 %,
STT Sriwijaya Palembang,STT Sriwijaya Palembang,Agama,Aktif,Kab. Banyuasin,Prov. Sumatera Selatan,Baik,3,48.39 %,Rp3.600.000 - 6.000.000
STEI Ar Risalah Ciamis Jawa Barat,STEI Ar Risalah Ciamis,Agama,Alih Bentuk,Kab. Ciamis,Prov. Jawa Barat,Baik,2,23.18 %,Rp950.000 - 1.200.000
Sekolah Tinggi Ilmu Pelayaran Jakarta,STIPJ,Kedinasan,Aktif,Kota Jakarta Utara,Prov. D.K.I. Jakarta,Unggul,5,73.69 %,Rp100.000 - 32.475.000
Sekolah Tinggi Ilmu Ekonomi Rahmaniyah,STIE Rahmaniyah,Swasta,Alih Bentuk,Kab. Musi Banyu Asin,Prov. Sumatera Selatan,Tidak Terakreditasi,3,,
Universitas Nahdlatul Ulama Kalimantan Selatan,UNUKS,Swasta,Aktif,Kab. Banjar,Prov. Kalimantan Selatan,Baik,10,30.04 %,Rp1.750.000 - 6.000.000
Akademi Kebidanan Ummi Khasanah,Akbid Ummi Khasanah,Swasta,Alih Bentuk,Kab. Bantul,Prov. D.I. Yogyakarta,Tidak Terakreditasi,1,73.40 %,
Institut Teknologi Indonesia,ITI,Swasta,Aktif,Kota tangerang Selatan,Prov. Banten,Baik Sekali,14,56.99 %,Rp4.000.000 - 8.400.000
Sekolah Tinggi Ilmu Administrasi Satya Negara,STIA Satya Negara,Swasta,Aktif,Kota Palembang,Prov. Sumatera Selatan,Baik Sekali,2,44.74 %,Rp2.400.000 - 4.000.000
STISIP Pusaka Nusantara,STISIP Pusaka Nusantara,Swasta,Tutup,Kota Jakarta Timur,Prov. D.K.I. Jakarta,Tidak Terakreditasi,4,,
"Akademi Manajemen Gunung Leuser (Kota Tasikmalaya, Jawa Barat)",AMGL,Swasta,Alih Bentuk,Kota Tasikmalaya,Prov. Jawa Barat,Tidak Terakreditasi,2,,
Akademi Analis Kesehatan YPM Sidoarjo,AAKYS,Swasta,Alih Bentuk,Kab. Sidoarjo,Prov. Jawa Timur,Tidak Terakreditasi,1,52.95 %,
Universitas Muhammadiyah Kotabumi,UMK,Swasta,Aktif,Kab. Lampung Utara,Prov. Lampung,B,14,46.90 %,Rp100.000 - 11.850.000
Sekolah Tinggi Manajemen Taman Pendidikan 45,STM Taman Pendidikan 45,Swasta,Tutup,Kota Denpasar,Prov. Bali,Tidak Terakreditasi,1,53.51 %,
Akademi Akuntansi YAI Jakarta,AAYJ,Swasta,Aktif,Kota Jakarta Pusat,Prov. D.K.I. Jakarta,Tidak Terakreditasi,1,,Rp6.825.000 - 6.900.000
Sekolah Tinggi Ilmu Ekonomi STEMBI,STIE STEMBI,Swasta,Alih Bentuk,Kota Bandung,Prov. Jawa Barat,Tidak Terakreditasi,5,27.89 %,
Universitas Potensi Utama,UPU,Swasta,Aktif,Kota Medan,Prov. Sumatera Utara,Terakreditasi,23,,Rp350.000 - 9.975.000
Sekolah Tinggi Ilmu Kesehatan Bhakti Husada Bengkulu,STIKes Bhakti Husada,Swasta,Aktif,Kota Bengkulu,Prov. Bengkulu,Baik,3,70.37 %,Rp400.000 - 4.000.000
Universitas Katolik De La Salle Manado,UKDLSM,Swasta,Aktif,Kota Manado,Prov. Sulawesi Utara,B,13,57.23 %,Rp15.000 - 19.255.000
Akademi Manajemen Bisnis Kendari,AMBK,Swasta,Aktif,Kota Kendari,Prov. Sulawesi Tenggara,Terakreditasi Sementara,2,,
Universitas Muhammadiyah Metro,UMM,Swasta,Aktif,Kota Metro,Prov. Lampung,Terakreditasi,42,58.31 %,Rp1 - 48.115.000
Politeknik Belitung,PB,Swasta,Aktif,Kab. Belitung,Prov. Bangka Belitung,Baik,3,47.01 %,Rp2.400.000 - 5.150.000
STMIK AUB Surakarta,STMIK AUB Surakarta,Swasta,Alih Bentuk,Kota Surakarta,Prov. Jawa Tengah,Tidak Terakreditasi,3,45.23 %,
STMIK Budi Darma,STMIK Budi Darma,Swasta,Alih Bentuk,Kota Medan,Prov. Sumatera Utara,Tidak Terakreditasi,2,46.40 %,
STMIK Surabaya,STMIK Surabaya,Swasta,Alih Bentuk,Kota Surabaya,Prov. Jawa Timur,Tidak Terakreditasi,9,35.29 %,
Sekolah Tinggi Ilmu Kesehatan Patriot Bangsa Lampung,STIKes Patriot Bangsa,Swasta,Aktif,Kota Bandar Lampung,Prov. Lampung,Baik,3,39.13 %,Rp5.500.000 - 5.500.000
Sekolah Tinggi Ilmu Ekonomi Paripurna,STIE Paripurna,Swasta,Aktif,Kota Depok,Prov. Jawa Barat,Baik,2,85.93 %,Rp500.000 - 4.000.000
Sekolah Tinggi Ilmu Ekonomi KBP,STIE KBP,Swasta,Aktif,Kota Padang,Prov. Sumatera Barat,B,3,60.25 %,Rp3.000.000 - 7.000.000
Sekolah Tinggi Ilmu Ekonomi Pelita Bangsa,STIE Pelita Bangsa,Swasta,Alih Bentuk,Kab. Bekasi,Prov. Jawa Barat,Tidak Terakreditasi,2,,
Universitas Galuh,UG,Swasta,Aktif,Kab. Ciamis,Prov. Jawa Barat,Baik Sekali,37,,Rp1.500.000 - 10.500.000
STIKOM Muhammadiyah Jayapura,STIKOM Muhammadiyah Jayapura,Swasta,Alih Bentuk,Kota Jayapura,Prov. Papua,Tidak Terakreditasi,2,40.42 %,
Politeknik Jambi,PJ,Swasta,Aktif,Kota Jambi,Prov. Jambi,Baik,9,46.63 %,Rp1.700.000 - 10.777.000
Akademi Manajemen Banda Aceh,AMBA,Swasta,Alih Kelola,Kab. Aceh Tamiang,Prov. Aceh,Tidak Terakreditasi,3,,
STKIP Siliwangi,STKIP Siliwangi,Swasta,Alih Bentuk,Kota Cimahi,Prov. Jawa Barat,Tidak Terakreditasi,10,58.92 %,
Universitas Karya Husada Semarang,UKHS,Swasta,Aktif,Kota Semarang,Prov. Jawa Tengah,Baik,14,68.82 %,Rp3.000.000 - 11.000.000
STMIK PGRI Tangerang,STMIK PGRI Tangerang,Swasta,Aktif,Kota Tangerang,Prov. Banten,Baik,2,,Rp2.400.000 - 2.400.000
Sekolah Tinggi Ilmu Ekonomi Y P Kampus,STIE Y P Kampus,Swasta,Tutup,Kota Padang Sidempuan,Prov. Sumatera Utara,Tidak Terakreditasi,2,14.71 %,
Akademi Pertanian Hkti Banyumas,APHB,Swasta,Aktif,Kab. Banyumas,Prov. Jawa Tengah,Tidak Terakreditasi,1,,
Akademi Fisioterapi ST Lukas Tomohon,AFSLT,Swasta,Alih Bentuk,Kota Tomohon,Prov. Sulawesi Utara,Tidak Terakreditasi,1,52.38 %,
Sekolah Tinggi Ilmu Ekonomi Taman Siswa,STIE Taman Siswa,Swasta,Aktif,Kota Jakarta Pusat,Prov. D.K.I. Jakarta,Baik,2,80.53 %,Rp2.400.000 - 2.400.000
Universitas Sulbar Manarang,USM,Swasta,Aktif,Kab. Mamuju,Prov. Sulawesi Barat,Baik,6,21.85 %,
Akademi Keperawatan Sumber Waras,Akper Sumber Waras,Swasta,Alih Bentuk,Kota Jakarta Barat,Prov. D.K.I. Jakarta,Tidak Terakreditasi,1,76.15 %,
Universitas Muhammadiyah Jember,UMJ,Swasta,Aktif,Kab. Jember,Prov. Jawa Timur,Unggul,39,60.83 %,Rp200 - 46.860.000
"STKIP Sera (Kota Tangerang, Banten)",STKIP Sera,Swasta,Alih Bentuk,Kota Tangerang,Prov. Banten,Tidak Terakreditasi,5,,
Universitas Pradita,UP,Swasta,Aktif,Kota Jakarta Utara,Prov. D.K.I. Jakarta,Baik Sekali,15,31.74 %,
Akademi Teknik Radiodiagnostik dan Radioterapi Persada Nusantara Bekasi,Atek Radiodiagnostik dan Radioterapi Persada,Swasta,Aktif,Kota Bekasi,Prov. Jawa Barat,Tidak Terakreditasi,1,,Rp4.500.000 - 5.000.000
Institut Teknologi dan Bisnis Arungpalakka,ITBA,Swasta,Aktif,Kab. Bone,Prov. Sulawesi Selatan,Tidak Terakreditasi,3,,Rp2.400.000 - 3.000.000
Universitas Islam Lamongan,UIL,Swasta,Aktif,Kab. Lamongan,Prov. Jawa Timur,Baik Sekali,20,59.48 %,Rp2.500.000 - 5.000.000
Politeknik Seni Yogyakarta,PSY,Swasta,Aktif,Kab. Sleman,Prov. D.I. Yogyakarta,Tidak Terakreditasi,3,72.64 %,
Akademi Keperawatan Teungku Fakinah Banda Aceh,Akper Teungku Fakinah Banda,Swasta,Aktif,Kota Banda Aceh,Prov. Aceh,Baik,1,76.82 %,Rp3.000.000 - 3.000.000
Politeknik Palopo,PP,Swasta,Aktif,Kota Palopo,Prov. Sulawesi Selatan,Baik,3,15.03 %,
Sekolah Tinggi Bahasa Asing Prayoga,STBAP,Swasta,Aktif,Kota Padang,Prov. Sumatera Barat,Terakreditasi,2,,Rp150.000 - 5.000.000
Universitas Sains Dan Teknologi Jayapura,USTJ,Swasta,Aktif,Kota Jayapura,Prov. Papua,Baik,21,47.16 %,Rp3.700.000 - 6.800.000
Politeknik Meta Industri Cikarang,PMIC,Swasta,Aktif,Kab. Bekasi,Prov. Jawa Barat,Terakreditasi,5,30.04 %,
Politeknik Malinau,PM,Swasta,Aktif,Kab. Malinau,Prov. Kalimantan Utara,Baik,8,73.40 %,Rp2.400.000 - 2.400.000
Sekolah Tinggi Ilmu Maritim Ami,STIMA,Swasta,Aktif,Kota Jakarta Timur,Prov. D.K.I. Jakarta,Terakreditasi,7,56.99 %,
Sekolah Tinggi Bahasa Asing Cakrawala Nusantara,STBACN,Swasta,Aktif,Kota Kupang,Prov. Nusa Tenggara Timur,Tidak Terakreditasi,2,44.74 %,
Politeknik Wahdah Islamiyah Makassar,PWIM,Swasta,Aktif,Kota Makassar,Prov. Sulawesi Selatan,Tidak Terakreditasi,3,,
Sekolah Tinggi Teknologi Jawa Barat,STT Jawa,Swasta,Alih Bentuk,Kab. Bandung,Prov. Jawa Barat,Tidak Terakreditasi,7,,
Sekolah Tinggi Ilmu Kesehatan Panti Wilasa,STIKes Panti Wilasa,Swasta,Alih Bentuk,Kota Semarang,Prov. Jawa Tengah,Tidak Terakreditasi,2,52.95 %,
STIKES Wijaya Husada Bogor,STIKES Wijaya Husada Bogor,Swasta,Aktif,Kota Bogor,Prov. Jawa Barat,Terakreditasi,4,46.90 %,Rp1 - 1
Sekolah Tinggi Ilmu Ekonomi Miftahul Huda,STIE Miftahul Huda,Swasta,Aktif,Kab. Subang,Prov. Jawa Barat,Terakreditasi,3,,Rp2.900.000 - 3.000.000
Akademi Kebidanan Ar-Rahma,Akbid Ar-Rahma,Swasta,Aktif,Kab. Pasuruan,Prov. Jawa Timur,Baik,1,,
Akademi Keperawatan Purna Bhakti Husada,Akper Purna Bhakti Husada,Swasta,Alih Bentuk,Kab. Tanah Datar,Prov. Sumatera Barat,Tidak Terakreditasi,1,,
Sekolah Tinggi Ilmu Kehutanan Pante Kulu,STIKPK,Swasta,Aktif,Kota Banda Aceh,Prov. Aceh,Terakreditasi,1,41.82 %,Rp1.800.000 - 3.000.000
STIKES Muhammadiyah Tasikmalaya,STIKES Muhammadiyah Tasikmalaya,Swasta,Alih Bentuk,Kota Tasikmalaya,Prov. Jawa Barat,Tidak Terakreditasi,4,70.37 %,
Akademi Analis Kesehatan Unmuh Surabaya,AAKUS,Swasta,Alih Bentuk,Kota Surabaya,Prov. Jawa Timur,Tidak Terakreditasi,1,,
STIKES Pamenang,STIKES Pamenang,Swasta,Aktif,Kab. Kediri,Prov. Jawa Timur,Baik,5,39.66 %,Rp2.000.000 - 6.000.000
Institut Bio Scientia Internasional Indonesia,IBSII,Swasta,Alih Bentuk,Kota Jakarta Timur,Prov. D.K.I. Jakarta,Baik Sekali,10,54.59 %,Rp2.500.000 - 49.000.000
Akademi Kebidanan Bunga Bangsaku Bangka,Akbid Bunga Bangsaku,Swasta,Aktif,Kab. Ogan Komering Ilir,Prov. Sumatera Selatan,Tidak Terakreditasi,1,68.88 %,Rp600.000 - 6.000.000
Akademi Kebidanan Annisa Jaya,Akbid Annisa Jaya,Swasta,Alih Bentuk,Kab. Bogor,Prov. Jawa Barat,Tidak Terakreditasi,1,62.28 %,
Akademi Keperawatan Kerta Cendekia Sidoarjo,Akper Kerta Cendekia Sidoarjo,Swasta,Alih Bentuk,Kab. Sidoarjo,Prov. Jawa Timur,Tidak Terakreditasi,1,68.30 %,
Sekolah Tinggi Ilmu Ekonomi Muhammadiyah Palopo,STIE Muhammadiyah Palopo,Swasta,Alih Bentuk,Kota Palopo,Prov. Sulawesi Selatan,Tidak Terakreditasi,3,,
Akademi Komunitas Darussalam Blokagung,Akom Darussalam Blokagung,Swasta,Aktif,Kab. Banyuwangi,Prov. Jawa Timur,Baik,3,62.57 %,Rp3.030.000 - 3.030.000
Institut Jambatan Bulan,IJB,Swasta,Aktif,Kab. Mimika,Prov. Papua,Baik,4,0.97 %,
"Akademi Kebidanan Jakarta Mitra Sejahtera (Kota Jambi, Jambi)",Akbid Jakarta Mitra Sejahtera,Swasta,Alih Bentuk,Kota Jambi,Prov. Jambi,Tidak Terakreditasi,1,87.26 %,
Universitas Panca Marga,UPM,Swasta,Aktif,Kab. Probolinggo,Prov. Jawa Timur,Baik,18,,Rp2.350.000 - 3.200.000
Universitas Dr. Djar Wattiheluw,UDDW,Swasta,Aktif,Kab. Maluku Tengah,Prov. Maluku,Baik,6,31.67 %,Rp2.000.000 - 2.400.000
Universitas Nahdlatul Ulama Sidoarjo,UNUS,Swasta,Aktif,Kab. Sidoarjo,Prov. Jawa Timur,Baik Sekali,14,,Rp1.500.000 - 4.500.000
Sekolah Tinggi Ilmu Ekonomi Muhammadiyah Samarinda,STIE Muhammadiyah Samarinda,Swasta,Alih Bentuk,Kota Samarinda,Prov. Kalimantan Timur,Tidak Terakreditasi,2,,
Akademi Keperawatan Dirgahayu Samarinda,Akper Dirgahayu Samarinda,Swasta,Alih Bentuk,Kota Samarinda,Prov. Kalimantan Timur,Tidak Terakreditasi,1,62.72 %,
Sekolah Tinggi Ilmu Administrasi Sandikta,STIA Sandikta,Swasta,Alih Bentuk,Kota Bekasi,Prov. Jawa Barat,Baik,4,42.93 %,
Universitas Muhammadiyah Buton,UMB,Swasta,Aktif,Kota Baubau,Prov. Sulawesi Tenggara,Baik Sekali,19,,Rp1.200.000 - 6.500.000
Sekolah Tinggi Teknologi Dirgantara Makassar,STT Dirgantara Makassar,Swasta,Tutup,Kota Makassar,Prov. Sulawesi Selatan,Tidak Terakreditasi,4,,
Universitas Islam Nusantara,Uninus,Swasta,Aktif,Kota Bandung,Prov. Jawa Barat,Baik Sekali,33,,Rp40.000 - 67.000.000
STIKES Panca Atma Jaya,STIKES Panca Atma Jaya,Swasta,Alih Bentuk,Kab. Klungkung,Prov. Bali,Tidak Terakreditasi,2,,
Universitas La Tansa Mashiro,ULTM,Swasta,Aktif,Kab. Lebak,Prov. Banten,Terakreditasi,10,,Rp1.250.000 - 2.650.000
Sekolah Tinggi Ilmu Kesehatan Duta Gama Klaten,STIKes Duta Gama Klaten,Swasta,Alih Bentuk,Kab. Klaten,Prov. Jawa Tengah,Baik,5,,
STMIK AKI Pati,STMIK AKI Pati,Swasta,Aktif,Kab. Pati,Prov. Jawa Tengah,Baik,4,,Rp500.000 - 3.000.000
Sekolah Tinggi Ilmu Kesehatan Pemkab Purworejo,STIKes Pemkab Purworejo,Swasta,Aktif,Kab. Purworejo,Prov. Jawa Tengah,Tidak Terakreditasi,4,,Rp2.400.000 - 9.950.000
Akademi Akuntansi Lampung,AAL,Swasta,Alih Bentuk,Kota Bandar Lampung,Prov. Lampung,Tidak Terakreditasi,1,,
Universitas Satyagama,US,Swasta,Aktif,Kota Jakarta Barat,Prov. D.K.I. Jakarta,Baik,17,,Rp74.201 - 7.200.000.000
Akademi Kebidanan Medica Obgin,Akbid Medica Obgin,Swasta,Alih Bentuk,Kota Bandung,Prov. Jawa Barat,Tidak Terakreditasi,1,72.80 %,
Universitas Tompotika Luwuk,UTL,Swasta,Aktif,Kab. Banggai,Prov. Sulawesi Tengah,Baik,18,,Rp100.000 - 5.500.000
Sekolah Tinggi Ilmu Administrasi Malang,STIA Malang,Swasta,Aktif,Kota Malang,Prov. Jawa Timur,Baik,6,,Rp200.000 - 7.300.000
Sekolah Tinggi Bahasa Asing JIA,STBAJ,Swasta,Aktif,Kota Bekasi,Prov. Jawa Barat,Baik,4,,Rp250.000 - 11.775.000
STKIP Muhammadiyah Lumajang,STKIP Muhammadiyah Lumajang,Swasta,Aktif,Kab. Lumajang,Prov. Jawa Timur,Baik,1,,Rp50.000 - 7.350.000
Sekolah Tinggi Ilmu Psikologi Harapan Bangsa,STIPHB,Swasta,Alih Bentuk,Kota Banda Aceh,Prov. Aceh,Tidak Terakreditasi,1,,
AMIK Tomakaka,AMIK Tomakaka,Swasta,Aktif,Kab. Majene,Prov. Sulawesi Barat,Baik,2,55.71 %,Rp2.460.000 - 2.460.000
Akademi Perikanan Qomaruddin,APQ,Swasta,Tutup,Kab. Gresik,Prov. Jawa Timur,Tidak Terakreditasi,1,,
Universitas Katolik Weetebula,UKW,Swasta,Aktif,Kab. Sumba Barat Daya,Prov. Nusa Tenggara Timur,Baik Sekali,10,40.86 %,Rp2.560.000 - 2.810.000
Universitas Abdul Azis Lamadjido,UAAL,Swasta,Aktif,Kota Palu,Prov. Sulawesi Tengah,Baik,12,40.47 %,Rp1.000.000 - 3.000.000
STIKES Sebelas April Sumedang,STIKES Sebelas April Sumedang,Swasta,Alih Bentuk,Kab. Sumedang,Prov. Jawa Barat,Tidak Terakreditasi,3,31.00 %,
Sekolah Tinggi Ilmu Hukum Dharma Andhiga,STIH Dharma Andhiga,Swasta,Tutup,Kota Bogor,Prov. Jawa Barat,Tidak Terakreditasi,1,65.22 %,
Akademi Kebidanan Keluarga Bunda Jambi,Akbid Keluarga Bunda,Swasta,Alih Bentuk,Kota Jambi,Prov. Jambi,Tidak Terakreditasi,1,51.03 %,
Universitas Ars Internasional,UAI,Swasta,Tutup,Kota Bandung,Prov. Jawa Barat,Tidak Terakreditasi,16,,
Politeknik Gusdurian,PG,Swasta,Aktif,Kab. Banyumas,Prov. Jawa Tengah,Baik,3,43.19 %,
STKIP Al Hikmah Surabaya,STKIP Al Hikmah Surabaya,Swasta,Aktif,Kota Surabaya,Prov. Jawa Timur,Baik,5,,Rp3.800.000 - 3.900.000
Akademi Kebidanan Wira Buana,Akbid Wira Buana,Swasta,Alih Bentuk,Kota Metro,Prov. Lampung,Baik Sekali,1,74.97 %,
Universitas Sari Mutiara Indonesia,USMI,Swasta,Aktif,Kota Medan,Prov. Sumatera Utara,Baik Sekali,31,42.81 %,Rp120.000 - 60.000.006
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Invada Cirebon,STKIP Invada Cirebon,Swasta,Alih Bentuk,Kab. Cirebon,Prov. Jawa Barat,Tidak Terakreditasi,3,,
Sekolah Tinggi Teknik Multimedia Internasional Malang,STTMIM,Swasta,Aktif,Kota Malang,Prov. Jawa Timur,Tidak Terakreditasi,6,68.86 %,
Universitas Harapan Medan,UHM,Swasta,Aktif,Kota Medan,Prov. Sumatera Utara,Terakreditasi,14,62.84 %,Rp1.000.000 - Rp6.000.000
STKIP Muhammadiyah Pringsewu,STKIP Muhammadiyah Pringsewu,Swasta,Alih Bentuk,Kab. Pringsewu,Prov. Lampung,Tidak Terakreditasi,6,62.22 %,
Akademi Keperawatan Yayasan Dharma Bhakti Jakarta,Akper Yayasan Dharma Bhakti,Swasta,Aktif,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,Tidak Terakreditasi,1,39.66 %,
Politeknik Manufaktur Astra,PMA,Swasta,Alih Bentuk,Kota Jakarta Utara,Prov. D.K.I. Jakarta,Tidak Terakreditasi,6,54.59 %,
STIKES Bina Sehat PPNI Mojokerto,STIKES Bina Sehat PPNI,Swasta,Alih Bentuk,Kab. Mojokerto,Prov. Jawa Timur,Baik,7,68.88 %,
STIKESMAS Nusantara,STIKESMAS Nusantara,Swasta,Alih Bentuk,Kota Palembang,Prov. Sumatera Selatan,Tidak Terakreditasi,1,62.28 %,
Universitas Janabadra,UJ,Swasta,Aktif,Kota Yogyakarta,Prov. D.I. Yogyakarta,Baik Sekali,16,68.30 %,Rp500.000 - 7.600.000
STMIK Bina Bangsa,STMIK Bina Bangsa,Swasta,Alih Bentuk,Kota Lhokseumawe,Prov. Aceh,Tidak Terakreditasi,3,39.37 %,
Akademi Akuntansi Indonesia Padang,AAIP,Swasta,Aktif,Kota Padang,Prov. Sumatera Barat,Baik,1,,Rp175.000 - 2.150.000
Universitas Tjut Nyak Dhien,UTND,Swasta,Aktif,Kota Medan,Prov. Sumatera Utara,Baik Sekali,28,0.97 %,
STMIK Widya Dharma,STMIK Widya Dharma,Swasta,Alih Bentuk,Kota Pontianak,Prov. Kalimantan Barat,Tidak Terakreditasi,3,,
Akademi Kebidanan Medistra Lubuk Pakam,Akbid Medistra Lubuk Pakam,Swasta,Alih Bentuk,Kab. Deli Serdang,Prov. Sumatera Utara,Tidak Terakreditasi,1,53.99 %,
Akademi Pariwisata Indonesia Jakarta,APIJ,Swasta,Alih Bentuk,Kota Jakarta Timur,Prov. D.K.I. Jakarta,Baik Sekali,3,31.67 %,
Akademi Keperawatan Kesdam I/Bukit Barisan Binjai,Akper Kesdam IBukit Barisan Binjai,Swasta,Aktif,Kota Binjai,Prov. Sumatera Utara,Baik Sekali,2,39.55 %,Rp4.200.000 - 4.200.000
Universitas Dirgantara Marsekal Suryadarma,UDMS,Swasta,Aktif,Kota Jakarta Timur,Prov. D.K.I. Jakarta,B,16,31.75 %,Rp1 - 19.225.000
Akademi Kebidanan Kartini Bali,Akbid Kartini,Swasta,Alih Bentuk,Kota Denpasar,Prov. Bali,Tidak Terakreditasi,1,62.72 %,
Institut Swadiri,IS,Swasta,Aktif,Kota Jayapura,Prov. Papua,Baik,3,42.93 %,
Akademi Kebidanan Ibrahimy Situbondo,Akbid Ibrahimy Situbondo,Swasta,Alih Bentuk,Kab. Situbondo,Prov. Jawa Timur,Tidak Terakreditasi,1,53.44 %,
